"Provider ID","Organisation Name","Date Authorised","Status","Reason for status change","Status effective from date","Measures offered"
"GDPA342","Infinite Energy UK Ltd","","Authorised","Initial authorisation","08/07/2013","Non-domestic,England,Scotland"
"GDPA248","Work Work Ltd","","Authorised","Initial authorisation","08/07/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Photovoltaics,Pipe-work insulation,Roof insulation,Solar water heating,Air source heat pumps,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA320","Happy Energy Ltd","","Authorised","Initial authorisation","03/06/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
"GDPA307","Acrobat Carbon Services Ltd","","Authorised","Initial authorisation","10/06/2013","Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
"GDPA298","Effective Energy Solutions Limited T/A Effective Energy","","Authorised","Initial authorisation","21/05/2013","Non-domestic,Green Deal Cashback Scheme,Cavity wall insulation,External wall insulation systems,Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Roof insulation,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA272","Opus Green Limited","","Authorised","Initial authorisation","18/06/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Cylinder thermostats,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Micro combined heat and power,Photovoltaics,Solar water heating,Water source heat pumps,Air source heat pumps,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA255","Green Deal Provider Network Ltd","","Authorised","Initial authorisation","10/05/2013","Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
"GDPA253","Solarwise Renewables Limited","","Authorised","Initial authorisation","08/03/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Biomass room heaters (including with radiators),Cavity wall insulation,Chillers,Cylinder thermostats,Draught proofing,Duct insulation,External wall insulation systems,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Hot water systems (efficient),Hot water taps (efficient),Internal wall insulation (of external walls) systems,Lighting systems, fittings and controls (including rooflights, lamps and luminaires),Loft or rafter insulation (including loft hatch insulation),Mechanical ventilation with heat recovery,Micro combined heat and power,Micro wind generation,Oil-fired conde"
"GDPA242","Wise Energy Solutions Ltd","","Authorised","Initial authorisation","26/02/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Biomass room heaters (including with radiators),Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Hot water systems (efficient),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Micro combined heat and power,Micro wind generation,Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Radiant heating,Replacement glazing,Roof insulation,Room in roof insulation,Secondary glazing,Solar water heating,Under-floor heating,Under-floor insulation,Waste water heat recovery devices attached to showe"
"GDPA239","Enhance Energy Solutions Ltd","","Authorised","Initial authorisation","18/03/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Biomass room heaters (including with radiators),Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Hot water systems (efficient),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Micro combined heat and power,Micro wind generation,Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Radiant heating,Replacement glazing,Roof insulation,Room in roof insulation,Secondary glazing,Solar water heating,Under-floor heating,Under-floor insulation,Waste water heat recovery devices attached to showe"
