"Provider ID","Organisation Name","Date Authorised","Status","Reason for status change","Status effective from date","Measures offered"
"GDPA297","1North Ltd","","Authorised","Initial authorisation","30/07/2013","Domestic,Non-domestic,Biomass boilers,Biomass room heaters (including with radiators),Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Hot water systems (efficient),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Micro combined heat and power,Micro wind generation,Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Radiant heating,Replacement glazing,Roof insulation,Room in roof insulation,Secondary glazing,Solar water heating,Under-floor heating,Under-floor insulation,Waste water heat recovery devices attached to showers,Water source heat pumps,"
"GDPA259","NWS","","Authorised","Initial authorisation","25/07/2013","Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
"GDPA295","GCMI Ltd T/A Green Deal Factory","","Authorised","Initial authorisation","25/07/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA282","Greenoke Energy Ltd","","Authorised","Initial authorisation","15/07/2013","Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Biomass room heaters (including with radiators),Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Hot water systems (efficient),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Micro combined heat and power,Micro wind generation,Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Radiant heating,Roof insulation,Room in roof insulation,Solar water heating,Under-floor heating,Under-floor insulation,Waste water heat recovery devices attached to showers,Water source heat pumps,Air source heat pumps,Warm-air units,England,Scotlan"
"GDPA296","Centre for Sustainable Energy","","Authorised","Initial authorisation","08/07/2013","Non-domestic,England"
"GDPA246","Green Deal Savings Ltd","","Authorised","Initial authorisation","08/07/2013","Domestic,Non-domestic,Biomass boilers,Biomass room heaters (including with radiators),Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Hot water systems (efficient),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Micro combined heat and power,Micro wind generation,Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Radiant heating,Replacement glazing,Roof insulation,Room in roof insulation,Secondary glazing,Solar water heating,Under-floor heating,Under-floor insulation,Waste water heat recovery devices attached to showers,Water source heat pumps,"
"GDPA270","Housing Action Management Limited","","Authorised","Initial authorisation","08/07/2013","Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Biomass room heaters (including with radiators),Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Hot water systems (efficient),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Micro combined heat and power,Micro wind generation,Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Radiant heating,Replacement glazing,Roof insulation,Room in roof insulation,Secondary glazing,Solar water heating,Under-floor heating,Under-floor insulation,Waste water heat recovery devices attached to showers,Water "
"GDPA241","Elliott Brothers Limited","","Authorised","Initial authorisation","08/07/2013","Non-domestic,Green Deal Cashback Scheme,England"
"GDPA256","Domestic Green Energy Limited","","Authorised","Initial authorisation","08/07/2013","Non-domestic,England"
"GDPA289","Greenvision Energy Limited","","Authorised","Initial authorisation","08/07/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
